Index	Ind ID	Class ID	Name	Abbreviation	Note	Centre
70		FBbt_	Abdominal Segment 5 dorsolateral Left	A5dl l		[415, 1334, 250]
71		FBbt_	Abdominal Segment 6 dorsolateral Left	A6dl l		[419, 1420, 256]
72		FBbt_	Abdominal Segment 7 dorsolateral Left	A7dl l		[422, 1500, 266]
73		FBbt_	Abdominal Segment 8 dorsolateral Left	A8dl l		[425, 1555, 278]
74		FBbt_	Posterior Lateral Protocerebrum	PLP		[504, 268, 183]
75		FBbt_	Thoracic Segment 1 Leg Neuropil Left	T1Leg l		[313, 631, 282]
76		FBbt_	Ventro Medial Cerebrum posterior	VMCp		[489, 304, 199]
77		FBbt_	Ventro Medial Cerebrum anterior	VMCa		[482, 314, 232]
78		FBbt_00007063	Ventro Medial Cerebrum	VMC		[485, 310, 217]
79		FBbt_	Thoracic Segment 1 Leg Neuropil Right	T1Leg r		[658, 634, 281]
80		FBbt_	VNC dorsolateral Right	VNCdl r		[596, 1044, 241]
81		FBbt_	Maxilla dorsolateral Right	MXdl r		[635, 500, 234]
82		FBbt_	Labium dorsolateral Right	LBdl r		[638, 557, 232]
83		FBbt_	Thoracic Segment 1 dorsolateral Right	T1dl r		[626, 644, 232]
84		FBbt_	Thoracic Segment 2 dorsolateral Right	T2dl r		[616, 740, 235]
85		FBbt_	Thoracic Segment 3 dorsolateral Right	T3dl r		[603, 848, 234]
86		FBbt_	Abdominal Segment 1 dorsolateral Right	A1dl r		[591, 948, 231]
87		FBbt_	Abdominal Segment 2 dorsolateral Right	A2dl r		[587, 1052, 231]
88		FBbt_	Abdominal Segment 3 dorsolateral Right	A3dl r		[584, 1159, 234]
89		FBbt_	Abdominal Segment 4 dorsolateral Right	A4dl r		[582, 1255, 242]
90		FBbt_	Abdominal Segment 5 dorsolateral Right	A5dl r		[579, 1333, 250]
91		FBbt_	Abdominal Segment 6 dorsolateral Right	A6dl r		[577, 1420, 257]
92		FBbt_	Abdominal Segment 7 dorsolateral Right	A7dl r		[575, 1500, 266]
93		FBbt_	Abdominal Segment 8 dorsolateral Right	A8dl r		[573, 1556, 278]
94		FBbt_	Terminal Plexus dorsal Left	TPd l		[468, 1601, 327]
95		FBbt_	Terminal Plexus dorsal Right	TPd r		[546, 1594, 327]
96		FBbt_	VNC ventrolateral Left	VNCvl l		[375, 819, 284]
97		FBbt_	Mandibula ventrolateral Left	MDvl l		[325, 422, 282]
98		FBbt_	Maxilla ventrolateral Left	MXvl l		[329, 466, 281]
99		FBbt_	Labium ventrolateral Left	LBvl l		[342, 534, 276]
100		FBbt_	Thoracic Segment 1 ventrolateral Left	T1vl l		[364, 641, 273]
